dim1,dim2,dim3,clicks,impressions,ctr,position
2026-04-15,polish translation services uk,gbr,0,3,0,50.333333333333336
2026-04-16,polish translation services uk,gbr,0,2,0,53
2026-04-17,polish translation services uk,gbr,0,2,0,51.5
2026-04-18,polish translation services uk,gbr,0,2,0,65
2026-04-18,polish translation services uk,usa,0,1,0,65
2026-04-19,legal polish translator,gbr,0,1,0,54
2026-04-19,medical interpreting services,gbr,0,2,0,78.5
2026-04-19,medical translation service,gbr,0,2,0,89.5
2026-04-19,polish translation london,gbr,0,1,0,40
2026-04-19,polish translation services uk,gbr,0,2,0,50
2026-04-19,welsh language translation services,gbr,0,1,0,75
2026-04-19,welsh translation service,gbr,0,1,0,76
2026-04-19,welsh translation services,gbr,0,1,0,87
2026-04-20,health translation company,gbr,0,1,0,94
2026-04-20,healthcare translation services,gbr,0,1,0,86
2026-04-20,healthcare translator,gbr,0,1,0,79
2026-04-20,medical translation service,gbr,0,1,0,91
2026-04-20,polish translation services uk,gbr,0,2,0,53.5
2026-04-20,welsh language translation services,gbr,0,1,0,73
2026-04-20,welsh translation service,gbr,0,2,0,74
2026-04-20,welsh translation services,gbr,0,1,0,73
2026-04-21,polish translation services uk,gbr,0,3,0,55.666666666666664
2026-04-22,polish translation london,rus,0,1,0,42
2026-04-22,polish translation services uk,gbr,0,1,0,56
2026-04-23,polish translation services uk,gbr,0,1,0,56
2026-04-24,polish translation services uk,gbr,0,1,0,76
2026-04-25,polish translation services uk,gbr,0,1,0,54
2026-04-25,skilled worker visa translation,gbr,0,1,0,67
2026-04-26,polish translation services uk,gbr,0,1,0,56
2026-04-26,skilled worker visa translation,gbr,0,1,0,67
2026-05-02,polish translation services uk,gbr,0,1,0,48
2026-05-05,healthcare translations london,gbr,0,2,0,17.5
2026-05-05,polish translation services uk,gbr,0,1,0,59
2026-05-06,certified translation polish english london,gbr,0,1,0,27
2026-05-06,polish translation services uk,gbr,0,2,0,53
2026-05-07,document translation service london,gbr,0,1,0,57
2026-05-07,document translation services london,gbr,0,2,0,79
2026-05-07,translation for documents,gbr,0,1,0,82
2026-05-08,document translation service london,gbr,0,1,0,54
2026-05-09,polish translation london,mex,0,1,0,26
2026-05-09,polish translation services uk,gbr,0,1,0,54
2026-05-10,medical document translation services,gbr,0,1,0,59
2026-05-11,medical document translation services,gbr,0,1,0,100
2026-05-11,medical translation agency,gbr,0,1,0,90
2026-05-11,polish translation services uk,gbr,0,1,0,50
2026-05-12,healthcare translations london,gbr,0,2,0,19.5
2026-05-12,legal translation london,gbr,0,1,0,92
2026-05-12,medical document translation,gbr,0,1,0,100
2026-05-12,medical documents translation,gbr,0,1,0,88
2026-05-12,medical translation,gbr,0,5,0,77.2
2026-05-12,medical translation agency,gbr,0,1,0,89
2026-05-12,medical translation service,gbr,0,1,0,79
2026-05-12,medical translation services,gbr,0,1,0,77
2026-05-12,medical translation uk,gbr,0,1,0,92
2026-05-12,medical translator,gbr,0,1,0,76
2026-05-12,polish translation services uk,gbr,0,3,0,60.333333333333336
2026-05-12,professional polish translation,gbr,0,1,0,55
2026-05-13,legal translation london,gbr,0,3,0,65.66666666666667
2026-05-13,legal translations,gbr,0,1,0,92
2026-05-13,polish translation services uk,gbr,0,2,0,50.5
2026-05-14,polish translation services uk,gbr,0,2,0,51.5
2026-05-15,polish translation services uk,gbr,0,2,0,40.5
2026-05-16,polish translation london,gbr,0,1,0,29
2026-05-16,polish translation services uk,gbr,0,2,0,40.5
2026-05-17,legal interpreting service,gbr,0,1,0,44
2026-05-17,medical translation london,gbr,0,1,0,44
2026-05-17,polish translation services uk,gbr,0,2,0,42
2026-05-18,healthcare translations london,gbr,0,1,0,29
2026-05-18,polish translation services uk,gbr,0,3,0,50.333333333333336
2026-05-19,document translation in london,gbr,0,1,0,44
2026-05-19,polish translation services uk,gbr,0,2,0,53.5
2026-05-20,english polish translation services,gbr,0,1,0,70
2026-05-20,polish translation london,gbr,0,1,0,38
2026-05-20,polish translation services uk,gbr,0,2,0,54
2026-05-21,polish translation services uk,gbr,0,2,0,53.5
2026-05-22,polish translation services uk,gbr,0,2,0,55
2026-05-23,legal polish translator,gbr,0,1,0,40
2026-05-23,phone call translation services,gbr,0,1,0,70
2026-05-23,phone interpreters,gbr,0,1,0,61
2026-05-23,polish translation london,gbr,0,1,0,21
2026-05-23,polish translation services uk,gbr,0,2,0,52
2026-05-24,polish translation services uk,gbr,0,2,0,46
2026-05-25,healthcare translations london,gbr,0,1,0,35
2026-05-25,polish translation services uk,gbr,0,2,0,45
2026-05-26,legal polish translator,gbr,0,1,0,40
2026-05-26,polish translation london,gbr,0,1,0,27
2026-05-26,polish translation services uk,gbr,0,2,0,53
2026-05-27,polish translation london,gbr,0,1,0,38
2026-05-27,polish translation services uk,gbr,0,2,0,53.5
2026-05-28,polish translation services uk,gbr,0,2,0,54
2026-05-29,polish translation services uk,gbr,0,2,0,49
2026-05-29,tatkowski,gbr,0,1,0,1
2026-05-30,polish translation london,sgp,0,1,0,16
2026-05-30,polish translation services uk,gbr,0,4,0,48.25
2026-06-01,birth certificate translation london,gbr,0,1,0,79
2026-06-01,certified translation price uk,gbr,0,1,0,96
2026-06-01,healthcare translations london,gbr,0,1,0,43
2026-06-01,polish translation services,gbr,0,1,0,68
2026-06-01,polish translation services uk,gbr,0,2,0,62.5
2026-06-01,skilled worker visa translation,gbr,0,1,0,67
2026-06-01,spouse visa translation,gbr,0,1,0,61
2026-06-01,tatkowski,gbr,0,1,0,9
2026-06-01,tatkowski,irl,0,1,0,7
